City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,port mathurin,-19.6833,63.4167,26.71,77,4,5.04,MU,1712871710
108,kodiak,57.79,-152.4072,0.73,100,100,0.0,US,1712871710
109,polyarnyy,69.1989,33.4478,-0.01,93,100,11.09,RU,1712871710
110,flying fish cove,-10.4217,105.6791,26.82,83,75,4.12,CX,1712871710
111,fenoarivo atsinanana,-17.3667,49.4167,26.14,92,90,1.7,MG,1712871710
112,college,64.8569,-147.8028,6.18,50,100,3.09,US,1712871710
113,bamboo flat,11.7,92.7167,26.96,81,7,2.19,IN,1712871710
114,hotan,37.0997,79.9269,16.42,17,11,2.55,CN,1712871710
115,kurmuk,10.55,34.2833,27.56,13,7,1.79,SD,1712871710
116,karratha,-20.7377,116.8463,26.72,73,54,2.39,AU,1712871711
117,fortuna,40.5982,-124.1573,14.4,77,20,7.2,US,1712871635
118,tsuruoka,38.7217,139.8217,12.02,73,100,2.98,JP,1712871711
119,vuktyl,63.8567,57.3094,0.62,96,100,7.6,RU,1712871711
120,mount pearl,47.5166,-52.7813,3.19,72,20,3.6,CA,1712871451
121,yanta,36.2411,115.6672,14.66,95,24,4.68,CN,1712871711
122,buala,-8.145,159.5921,28.59,74,100,1.37,SB,1712871711
123,ta`u,-14.2336,-169.5144,29.03,78,5,4.44,AS,1712871711
124,ad diwaniyah,31.9905,44.9306,22.05,41,0,2.85,IQ,1712871711
125,ribeira grande,38.5167,-28.7,15.99,93,97,1.34,PT,1712871711
126,traverse city,44.7631,-85.6206,12.11,71,100,3.6,US,1712871674
127,medina,24.4686,39.6142,27.24,12,0,1.54,SA,1712871711
128,isafjordur,66.0755,-23.124,-2.81,94,100,13.94,IS,1712871711
129,chibougamau,49.9168,-74.3659,12.79,54,75,4.63,CA,1712871712
130,coquimbo,-29.9533,-71.3436,14.85,82,100,1.54,CL,1712871650
131,olonkinbyen,70.9221,-8.7187,-8.43,88,100,6.79,SJ,1712871712
132,ixtapa,20.7,-105.2,24.57,69,40,6.17,MX,1712871712
133,gadzhiyevo,69.2551,33.3362,0.11,93,100,11.07,RU,1712871712
134,trujillo,-8.116,-79.03,21.98,83,75,4.63,PE,1712871592
135,keokuk,40.3973,-91.3849,17.83,41,40,10.29,US,1712871712
136,garden city,42.3256,-83.331,15.49,96,100,4.12,US,1712871688
137,sanga-sanga,5.0725,119.7853,27.55,77,28,2.62,PH,1712871712
138,trapani,37.8333,12.6667,14.05,94,40,1.54,IT,1712871712
139,san maurizio,45.217,7.6305,16.34,80,0,2.57,IT,1712871712
140,chake chake,-5.2459,39.7666,27.31,84,16,3.45,TZ,1712871712
141,vadso,70.0744,29.7487,1.49,80,75,7.2,NO,1712871563
142,kurumkan,54.3,110.3,3.4,79,100,2.24,RU,1712871712
143,as sulayyil,20.4607,45.5779,30.14,28,31,4.46,SA,1712871712
144,severnoye,56.3491,78.3619,-5.01,81,13,2.68,RU,1712871712
145,kabinda,-6.1333,24.4833,21.46,88,100,1.25,CD,1712871713
146,alice springs,-23.7,133.8833,11.79,60,3,2.57,AU,1712871713
147,sanctuary point,-35.1114,150.629,17.64,77,100,1.07,AU,1712871713
148,xilin hot,43.9667,116.0333,10.19,48,100,2.07,CN,1712871713
149,dangriga,16.9692,-88.2321,28.21,82,12,6.08,BZ,1712871713
150,darwin,-12.4611,130.8418,22.99,80,100,2.57,AU,1712871426
151,katabu,-4.9333,122.5167,23.75,97,41,0.95,ID,1712871713
152,isoka,-10.1606,32.6335,17.73,96,87,0.5,ZM,1712871713
153,ambon,-3.6954,128.1814,27.71,95,40,1.03,ID,1712871713
154,laguna,38.421,-121.4238,29.5,44,0,1.34,US,1712871713
